State,TotalCrimeRatePer100k,TotalCrimeRatePoints,ViolentCrimeRatePer100k,ViolentCrimeRatePoints,NonViolentCrimeRatePer100k,NonViolentCrimePoints,CrimeRank,TotalPoints,PointsMultiplier
New Hampshire,2344,50,146,49,2197.801,49,1,50,150
Maine,2421,48,109,50,2312.351,47,2,49,147
New Jersey,2512,46,195,46,2316.386,46,3,48,144
Vermont,2607,45,173,48,2433.957,45,4,47,141
Idaho,2466,47,243,42,2223.751,48,5,46,138
Rhode Island,2722,44,231,44,2490.907,44,6,45,135
Massachusetts,2415,49,309,32,2106.367,50,7,44,132
Virginia,3121,43,209,45,2912.824,40,8,43,129
Connecticut,3312,38,182,47,3130.161,37,9,42,126
Wyoming,3455,37,234,43,3221.209,35,10,41,123
West Virginia,3155,42,356,28,2798.765,42,11,40,120
Wisconsin,3295,39,323,31,2971.34,39,12,39,117
New York,3185,41,364,26,2821.442,41,13,38,114
Kentucky,3818,32,259,40,3559.014,31,14,37,111
Iowa,3700,33,303,34,3396.489,33,15,36,108
Maryland,3619,35,400,23,3219.623,36,16,35,105
Michigan,3200,40,478,10,2721.763,43,17,34,102
Illinois,3545,36,426,18,3118.753,38,18,33,99
Pennsylvania,3678,34,390,24,3288.161,34,19,32,96
Ohio,4009,29,309,33,3700.658,29,20,31,93
Florida,3922,31,384,25,3538.862,32,21,30,90
Indiana,3924,30,358,27,3566.361,30,22,29,87
Nebraska,4152,28,334,29,3818.323,28,23,28,84
Mississippi,4494,23,291,37,4203.269,23,24,27,81
Minnesota,4527,22,277,38,4249.77,20,25,26,78
North Dakota,4577,21,329,30,4248.219,21,26,25,75
Georgia,4415,25,400,22,4014.709,24,27,24,72
Delaware,4355,26,432,17,3922.745,25,28,23,69
Hawaii,5077,13,254,41,4822.723,12,29,22,66
Nevada,4314,27,460,12,3853.219,27,30,21,63
Utah,5190,12,261,39,4928.86,11,31,20,60
South Dakota,4415,24,501,8,3913.446,26,32,19,57
California,4720,19,442,16,4277.852,18,33,18,54
Kansas,4823,17,425,19,4398.167,17,34,17,51
Montana,4711,20,470,11,4241.623,22,35,16,48
North Carolina,4872,16,419,21,4452.975,16,36,15,45
Oregon,5610,9,292,36,5318.016,7,37,14,42
Alabama,4727,18,454,14,4273.507,19,38,13,39
Washington,5759,7,294,35,5464.871,4,39,12,36
Texas,4937,15,446,15,4490.075,14,40,11,33
Arizona,4940,14,485,9,4455.304,15,41,10,30
Colorado,6091,3,423,20,5667.698,3,42,9,27
Alaska,5359,11,838,1,4521.047,13,43,8,24
Missouri,5605,10,543,6,5062.075,9,44,7,21
Oklahoma,5870,6,459,13,5411.247,6,45,6,18
Tennessee,5658,8,673,3,4985.6,10,46,5,15
Arkansas,5899,5,672,4,5226.822,8,47,4,12
South Carolina,5973,4,531,7,5442.158,5,48,3,9
Louisiana,6408,2,639,5,5768.776,1,49,2,6
New Mexico,6462,1,778,2,5683.754,2,50,1,3
