State,JobGrowthIn1000s,JobGrowthPoints,YoYJobGrowth%,JobGrowth%Points,EmploymentRate,EmploymentRatePoints,JobMarketRank,TotalPoints,PointsMultiplier
South Dakota,10.5,7,2.3%,19,98.1%,50,32,19,57
North Dakota,10.5,6,2.5%,25,97.9%,49,26,25,75
Nebraska,21.7,14,2.1%,15,97.9%,48,31,20,60
Montana,12.6,10,2.5%,26,97.7%,47,24,27,81
Alabama,41.5,23,2.0%,12,97.7%,46,25,26,78
Utah,52.6,28,3.2%,44,97.6%,45,2,49,147
New Hampshire,18.4,13,2.7%,33,97.6%,44,15,36,108
Missouri,58.0,30,2.0%,13,97.5%,43,20,31,93
Wisconsin,50.3,27,1.7%,8,97.5%,42,30,21,63
Florida,427.4,48,4.6%,48,97.4%,41,1,50,150
Idaho,24.9,18,3.0%,40,97.4%,40,7,44,132
Maine,12.5,9,2.0%,11,97.4%,39,38,13,39
Vermont,6.5,3,2.2%,17,97.3%,38,39,12,36
Maryland,18.2,12,0.7%,2,97.3%,37,42,9,27
Minnesota,73.6,32,2.5%,28,97.2%,36,8,43,129
Colorado,46.7,26,1.6%,6,97.2%,35,34,17,51
Iowa,22.8,16,1.5%,5,97.2%,34,41,10,30
Kansas,41.3,22,2.9%,38,97.1%,33,10,41,123
Oklahoma,45.4,25,2.7%,34,97.0%,32,12,39,117
Arkansas,32.5,20,2.5%,27,97.0%,31,28,23,69
Georgia,135.1,43,2.8%,35,96.9%,30,6,45,135
Indiana,73.6,33,2.3%,21,96.9%,29,23,28,84
Rhode Island,9.4,4,1.9%,9,96.9%,28,45,6,18
Virginia,96.1,39,2.4%,23,96.8%,27,18,33,99
South Carolina,53.9,29,2.4%,22,96.8%,26,29,22,66
Tennessee,103.3,40,3.2%,45,96.6%,25,4,47,141
West Virginia,2.5,1,0.4%,1,96.6%,24,50,1,3
Hawaii,24.4,17,4.0%,47,96.5%,23,19,32,96
North Carolina,144.1,44,3.0%,42,96.5%,22,5,46,138
Arizona,78.8,36,2.6%,32,96.5%,21,17,34,102
New Mexico,22.1,15,2.6%,31,96.5%,20,35,16,48
New Jersey,105.4,41,2.5%,30,96.5%,19,14,37,111
Massachusetts,91.7,37,2.5%,29,96.5%,18,22,29,87
Mississippi,17.6,11,1.5%,4,96.5%,17,47,4,12
Louisiana,35.5,21,1.9%,10,96.4%,16,44,7,21
Alaska,9.7,5,3.1%,43,96.3%,15,36,15,45
Wyoming,6.0,2,2.1%,14,96.3%,14,49,2,6
Kentucky,43.0,24,2.2%,18,96.2%,13,40,11,33
Ohio,77.8,35,1.4%,3,96.2%,12,43,8,24
Texas,611.4,50,4.6%,49,96.0%,11,3,48,144
Connecticut,28.7,19,1.7%,7,96.0%,10,46,5,15
New York,269.4,47,2.9%,39,95.9%,9,9,42,126
Michigan,91.7,38,2.1%,16,95.9%,8,37,14,42
Pennsylvania,164.8,46,2.8%,36,95.8%,7,16,35,105
Oregon,58.8,31,3.0%,41,95.6%,6,27,24,72
California,486.5,49,2.8%,37,95.6%,5,11,40,120
Illinois,144.9,45,2.4%,24,95.6%,4,33,18,54
Delaware,10.8,8,2.3%,20,95.6%,3,48,3,9
Washington,122.5,42,3.5%,46,95.5%,2,13,38,114
Nevada,74.7,34,5.1%,50,94.5%,1,21,30,90
