State,PropertyTax,PropertyTaxPoints,IncomeTax,IncomeTaxPoints,SalesAndExciseTax ,SalesAndExciseTaxPoints,OverallPoints,PointsMultiplier(2x)
Hawaii,2.64%,25,3.82%,6,5.34%,3,1,2
New York,4.36%,5,4.63%,2,3.03%,31,2,4
Vermont,4.85%,2,3.09%,11,3.18%,27,3,6
Maine,4.86%,1,2.59%,21,3.29%,24,4,8
Kansas,3.04%,16,2.67%,17,3.58%,18,5,10
Minnesota,2.82%,22,4.01%,4,3.12%,28,7,14
Illinois,3.67%,9,2.57%,23,3.43%,22,7,14
Connecticut,3.95%,6,3.42%,9,2.71%,40,8,16
California,2.73%,23,4.87%,1,2.80%,37,9,18
Nebraska,3.55%,10,2.60%,20,3.01%,32,12,24
Rhode Island,3.83%,7,2.49%,25,3.06%,30,12,24
Utah,2.19%,38,3.57%,8,3.59%,16,12,24
Iowa,3.39%,12,2.39%,29,3.43%,22,14,28
Ohio,2.72%,24,2.48%,26,3.72%,13,14,28
Indiana,2.14%,39,3.06%,12,3.65%,14,15,30
Massachusetts,3.35%,13,3.37%,10,1.83%,45,16,32
Oregon,2.95%,18,4.30%,3,1.19%,48,17,34
Texas,3.71%,8,0.00%,50,3.85%,12,18,36
West Virginia,2.22%,37,2.61%,19,3.62%,15,19,38
Mississippi,2.63%,28,1.86%,36,4.27%,8,20,40
Montana,3.24%,14,3.00%,13,1.26%,47,21,42
Pennsylvania,2.62%,28,2.64%,18,3.10%,29,22,44
Maryland,2.60%,30,4.00%,5,2.66%,41,23,46
New Jersey,4.59%,3,2.36%,31,2.52%,44,25,50
Colorado,2.93%,20,2.49%,25,3.00%,33,25,50
Virginia,2.89%,21,2.98%,15,2.58%,43,27,54
Wisconsin,2.98%,17,2.57%,23,2.77%,39,27,54
Kentucky,1.89%,43,2.98%,15,3.39%,23,28,56
Washington,2.58%,31,0.00%,50,5.46%,1,29,58
North Carolina,2.00%,42,2.68%,16,3.21%,26,31,62
Arizona,2.26%,36,1.62%,38,3.91%,10,31,62
Arkansas,1.65%,48,2.26%,32,4.88%,6,32,64
Michigan,2.94%,19,2.23%,33,2.85%,36,34,68
New Mexico,1.86%,44,1.13%,40,5.04%,4,34,68
Louisiana,1.83%,46,1.57%,39,4.89%,5,35,70
Idaho,2.12%,40,2.47%,27,3.27%,25,36,72
South Dakota,2.58%,32,0.00%,50,3.86%,11,39,78
Alabama,1.33%,50,2.01%,34,4.18%,9,39,78
Nevada,2.02%,41,0.00%,50,5.35%,2,39,78
North Dakota,2.44%,34,0.90%,41,3.46%,19,40,80
New Hampshire,4.51%,4,0.15%,42,0.97%,50,41,82
Missouri,2.41%,35,2.40%,28,2.95%,34,42,84
South Carolina,2.63%,28,2.00%,35,2.87%,35,43,86
Florida,2.61%,29,0.00%,50,3.44%,20,45,90
Tennessee,1.64%,49,0.05%,43,4.38%,7,45,90
Delaware,1.85%,45,3.57%,8,1.01%,49,48,96
Georgia,2.50%,33,2.36%,31,2.79%,38,48,96
Oklahoma,1.71%,47,1.75%,37,3.58%,18,48,96
Alaska,3.54%,11,0.00%,50,1.39%,46,50,100
Wyoming,3.10%,15,0.00%,50,2.60%,42,50,100
